sample-id,depth-id,iter-1,iter-2,iter-3,iter-4,iter-5,iter-6,iter-7,iter-8,iter-9,iter-10,iter_array
sampleID_1a,depth-388,42,42,42,42,40,41,41,42,41,41,[42 42 42 42 40 41 41 42 41 41]
sampleID_1a,depth-408,40,42,41,40,42,42,42,42,41,42,[40 42 41 40 42 42 42 42 41 42]
sampleID_1a,depth-429,42,41,42,42,42,41,40,41,42,42,[42 41 42 42 42 41 40 41 42 42]
sampleID_1a,depth-449,41,42,41,42,42,42,42,42,42,41,[41 42 41 42 42 42 42 42 42 41]
sampleID_1a,depth-469,41,42,41,42,41,42,42,42,42,42,[41 42 41 42 41 42 42 42 42 42]
sampleID_1a,depth-490,41,42,41,42,41,41,42,42,42,42,[41 42 41 42 41 41 42 42 42 42]
sampleID_1a,depth-510,42,42,41,42,42,42,42,42,42,41,[42 42 41 42 42 42 42 42 42 41]
sampleID_1a,depth-531,42,42,42,42,42,41,42,42,42,42,[42 42 42 42 42 41 42 42 42 42]
sampleID_1a,depth-551,42,42,42,42,42,42,42,41,42,41,[42 42 42 42 42 42 42 41 42 41]
sampleID_1a,depth-571,42,42,41,42,42,42,42,42,42,42,[42 42 41 42 42 42 42 42 42 42]
sampleID_1a,depth-592,42,42,42,42,42,42,42,42,42,41,[42 42 42 42 42 42 42 42 42 41]
sampleID_1a,depth-612,42,42,42,42,42,42,41,42,42,42,[42 42 42 42 42 42 41 42 42 42]
sampleID_1a,depth-633,41,42,42,42,42,42,42,42,42,42,[41 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-653,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-673,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-694,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-714,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-734,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-755,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-775,42,42,42,42,42,42,42,42,42,42,[42 42 42 42 42 42 42 42 42 42]
sampleID_1a,depth-796,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-816,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-836,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-857,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-877,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-898,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-918,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-938,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-959,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-979,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_1a,depth-1000,,,,,,,,,,,[nan nan nan nan nan nan nan nan nan nan]
sampleID_2,depth-1,1,1,1,1,1,1,1,1,1,1,[1 1 1 1 1 1 1 1 1 1]
sampleID_2,depth-21,14,10,9,12,13,10,10,11,9,12,[14 10 9 12 13 10 10 11 9 12]
sampleID_2,depth-41,14,18,16,14,13,16,13,18,14,17,[14 18 16 14 13 16 13 18 14 17]
sampleID_2,depth-62,16,19,13,20,17,17,18,17,15,18,[16 19 13 20 17 17 18 17 15 18]
sampleID_2,depth-82,19,16,21,20,16,16,22,16,19,19,[19 16 21 20 16 16 22 16 19 19]
sampleID_2,depth-102,22,19,23,19,21,19,23,21,20,19,[22 19 23 19 21 19 23 21 20 19]
sampleID_2,depth-123,21,22,20,19,19,19,23,22,20,22,[21 22 20 19 19 19 23 22 20 22]
sampleID_2,depth-143,20,19,21,22,20,20,20,21,20,20,[20 19 21 22 20 20 20 21 20 20]
sampleID_2,depth-164,18,23,21,20,21,22,19,21,21,22,[18 23 21 20 21 22 19 21 21 22]
sampleID_2,depth-184,22,21,22,23,22,22,23,21,22,22,[22 21 22 23 22 22 23 21 22 22]
sampleID_2,depth-204,23,23,22,23,23,20,22,22,21,21,[23 23 22 23 23 20 22 22 21 21]
sampleID_2,depth-225,22,22,22,23,23,22,23,23,22,21,[22 22 22 23 23 22 23 23 22 21]
sampleID_2,depth-245,21,23,23,23,21,23,23,22,23,21,[21 23 23 23 21 23 23 22 23 21]
sampleID_2,depth-266,23,21,22,23,22,23,23,23,23,22,[23 21 22 23 22 23 23 23 23 22]
sampleID_2,depth-286,23,23,23,21,22,23,22,23,23,22,[23 23 23 21 22 23 22 23 23 22]
sampleID_2,depth-306,22,22,23,22,23,23,23,23,23,23,[22 22 23 22 23 23 23 23 23 23]
sampleID_2,depth-327,23,23,23,23,21,22,23,23,22,22,[23 23 23 23 21 22 23 23 22 22]
sampleID_2,depth-347,23,23,23,23,22,22,23,23,23,22,[23 23 23 23 22 22 23 23 23 22]
sampleID_2,depth-367,23,22,22,23,23,23,23,21,23,23,[23 22 22 23 23 23 23 21 23 23]
sampleID_2,depth-388,22,23,23,23,23,23,23,23,23,23,[22 23 23 23 23 23 23 23 23 23]
